Class,Biological Process,Gene
Adaptive Immunity,TCR Signaling,PSMC4 
Adaptive Immunity,TCR Signaling,PSMD7 
Adaptive Immunity,TCR Signaling,PTEN 
Adaptive Immunity,TCR Signaling,PTPRC 
Adaptive Immunity,TCR Signaling,RAF1 
Adaptive Immunity,TCR Signaling,RASGRP1 
Adaptive Immunity,TCR Signaling,RELA 
Adaptive Immunity,TCR Signaling,RHOA 
Adaptive Immunity,TCR Signaling,RIPK2 
Adaptive Immunity,TCR Signaling,RPS27A 
Adaptive Immunity,TCR Signaling,SKP1 
Adaptive Immunity,TCR Signaling,SOS1 
Adaptive Immunity,TCR Signaling,SOS2 
Adaptive Immunity,TCR Signaling,TNF 
Adaptive Immunity,TCR Signaling,TRAC 
Adaptive Immunity,TCR Signaling,TRAF6 
Adaptive Immunity,TCR Signaling,TRAT1 
Adaptive Immunity,TCR Signaling,TRBC1/2 
Adaptive Immunity,TCR Signaling,TRDC 
Adaptive Immunity,TCR Signaling,UBB 
Adaptive Immunity,TCR Signaling,UBC 
Adaptive Immunity,TCR Signaling,ZAP70
Adaptive Immunity,Th1 Differentiation,BCL6 
Adaptive Immunity,Th1 Differentiation,DLL1 
Adaptive Immunity,Th1 Differentiation,DLL3 
Adaptive Immunity,Th1 Differentiation,DLL4 
Adaptive Immunity,Th1 Differentiation,GATA3 
Adaptive Immunity,Th1 Differentiation,IFNG 
Adaptive Immunity,Th1 Differentiation,IFNGR1 
Adaptive Immunity,Th1 Differentiation,IFNGR2 
Adaptive Immunity,Th1 Differentiation,IL12A 
Adaptive Immunity,Th1 Differentiation,IL12B 
Adaptive Immunity,Th1 Differentiation,IL12RB1 
Adaptive Immunity,Th1 Differentiation,IL12RB2 
Adaptive Immunity,Th1 Differentiation,IL2 
Adaptive Immunity,Th1 Differentiation,JAK1 
Adaptive Immunity,Th1 Differentiation,JAK2 
Adaptive Immunity,Th1 Differentiation,MAML2 
Adaptive Immunity,Th1 Differentiation,NFKB1 
Adaptive Immunity,Th1 Differentiation,NOTCH3 
Adaptive Immunity,Th1 Differentiation,RELA 
Adaptive Immunity,Th1 Differentiation,STAT1 
Adaptive Immunity,Th1 Differentiation,STAT4 
Adaptive Immunity,Th1 Differentiation,TBX21 
Adaptive Immunity,Th1 Differentiation,TYK2
Adaptive Immunity,Th17 Differentiation,FOXP3 
Adaptive Immunity,Th17 Differentiation,HIF1A 
Adaptive Immunity,Th17 Differentiation,IL12B 
Adaptive Immunity,Th17 Differentiation,IL12RB1 
Adaptive Immunity,Th17 Differentiation,IL17A 
Adaptive Immunity,Th17 Differentiation,IL17F 
Adaptive Immunity,Th17 Differentiation,IL1B 
Adaptive Immunity,Th17 Differentiation,IL1R1 
Adaptive Immunity,Th17 Differentiation,IL1RAP 
Adaptive Immunity,Th17 Differentiation,IL21 
Adaptive Immunity,Th17 Differentiation,IL21R 
Adaptive Immunity,Th17 Differentiation,IL22 
Adaptive Immunity,Th17 Differentiation,IL23A 
Adaptive Immunity,Th17 Differentiation,IL23R 
Adaptive Immunity,Th17 Differentiation,IL2RG 
Adaptive Immunity,Th17 Differentiation,IL4 
Adaptive Immunity,Th17 Differentiation,IL6 
Adaptive Immunity,Th17 Differentiation,IL6R 
Adaptive Immunity,Th17 Differentiation,IL6ST 
Adaptive Immunity,Th17 Differentiation,IRF4 
Adaptive Immunity,Th17 Differentiation,IRF8 
Adaptive Immunity,Th17 Differentiation,JAK1 
Adaptive Immunity,Th17 Differentiation,JAK2 
Adaptive Immunity,Th17 Differentiation,JAK3 
Adaptive Immunity,Th17 Differentiation,MAPK11 
Adaptive Immunity,Th17 Differentiation,MAPK12 
Adaptive Immunity,Th17 Differentiation,MAPK14 
Adaptive Immunity,Th17 Differentiation,MTOR 
Adaptive Immunity,Th17 Differentiation,RORA 
Adaptive Immunity,Th17 Differentiation,RORC 
Adaptive Immunity,Th17 Differentiation,SMAD2 
Adaptive Immunity,Th17 Differentiation,SMAD3 
Adaptive Immunity,Th17 Differentiation,SMAD4 
