Endpoint,Gene,HR,Lower CI,CI Width,Upper CI,SE,Statistic,P-value,FDR,Global ZPH P-value,Global ZPH ChiSq,Gene ZPH P-value
PFS,ANP32B,0.981962397,0.753391429,0.526487945,1.279879374,0.135190289,-0.134641795,0.892895095,0.988058847,0.385433684,0.753299222,0.385433684
PFS,ANXA1,1.068016503,0.762376393,0.733812709,1.496189102,0.172002183,0.382571846,0.702037248,0.988058847,0.500399593,0.45408885,0.500399593
PFS,APC,0.883997001,0.645930825,0.563874724,1.20980555,0.160085214,-0.770224848,0.441166527,0.988058847,0.365269979,0.819692868,0.365269979
PFS,APH1B,0.88768349,0.686824396,0.460458639,1.147283036,0.130888425,-0.910241144,0.36269535,0.988058847,0.920078572,0.010067062,0.920078572
PFS,API5,1.164261553,0.814084115,0.850983337,1.665067453,0.182543461,0.833155159,0.404757229,0.988058847,0.043655822,4.069824015,0.043655822
PFS,APLNR,0.909443666,0.675882627,0.54783248,1.223715108,0.151438305,-0.626804573,0.530787346,0.988058847,0.296756088,1.08871505,0.296756088
PFS,APOA1,0.905840226,0.664510901,0.570301821,1.234812723,0.158070076,-0.625623405,0.531561983,0.988058847,0.791790987,0.069688416,0.791790987
PFS,APOA2,1.056705458,0.764018652,0.697498579,1.461517231,0.165471962,0.333325409,0.738888662,0.988058847,0.933731326,0.00691412,0.933731326
PFS,APOA4,0.879835572,0.651129673,0.53774355,1.188873224,0.153587632,-0.833532216,0.404544637,0.988058847,0.886204985,0.020479864,0.886204985
PFS,APOB,0.866595139,0.645988254,0.516551671,1.162539924,0.149895907,-0.955218732,0.339467095,0.988058847,0.839357381,0.041093588,0.839357381
PFS,APOC2,0.842681333,0.635946996,0.480674096,1.116621092,0.143611645,-1.191869977,0.233312232,0.988058847,0.398687724,0.712280667,0.398687724
PFS,APOC3,0.933362347,0.673450039,0.620135559,1.293585598,0.166523305,-0.414126931,0.678781151,0.988058847,0.672119037,0.179133407,0.672119037
PFS,APOE,1.155011894,0.862977958,0.682892898,1.545870856,0.148715371,0.96903663,0.332526913,0.988058847,0.706052253,0.142252154,0.706052253
PFS,APOL6,0.825666964,0.609786606,0.508187991,1.117974597,0.154636735,-1.23879865,0.215420074,0.988058847,0.400415041,0.707079542,0.400415041
PFS,APOM,1.018785821,0.734011195,0.680033382,1.414044577,0.167269678,0.111266711,0.911404853,0.989558106,0.979233229,0.000677573,0.979233229
PFS,APP,1.041670745,0.744779146,0.71213321,1.456912356,0.171173279,0.238506325,0.81148841,0.988058847,0.994096079,5.48E-05,0.994096079
PFS,AQP9,0.823839295,0.616897245,0.483304107,1.100201352,0.147590982,-1.312951483,0.189199297,0.988058847,0.983859937,0.000409251,0.983859937
PFS,AR,0.731497837,0.541961514,0.445357829,0.987319343,0.153012644,-2.043367177,0.041016104,0.988058847,0.766354269,0.088296351,0.766354269
PFS,AREG,0.913337146,0.676396516,0.55688119,1.233277706,0.153230173,-0.59159493,0.55412187,0.988058847,0.993404631,6.83E-05,0.993404631
PFS,ARG1,0.883814335,0.652433333,0.544819689,1.197253021,0.154869198,-0.797500525,0.425160398,0.988058847,0.731883142,0.117389568,0.731883142
PFS,ARG2,0.958355989,0.703567506,0.60184554,1.305413046,0.157684262,-0.269754085,0.787349449,0.988058847,0.057120603,3.619075601,0.057120603
PFS,ARID1A,0.932169383,0.705875103,0.525135532,1.231010635,0.141878232,-0.49507763,0.620545324,0.988058847,0.224216617,1.477177719,0.224216617
PFS,ARID1B,0.945131094,0.689934851,0.604785635,1.294720486,0.160577679,-0.351428899,0.725266605,0.988058847,0.848204585,0.036637691,0.848204585
PFS,ARID2,1.086916133,0.779269537,0.736748509,1.516018046,0.169769824,0.490926179,0.623478661,0.988058847,0.736007651,0.113666702,0.736007651
PFS,ARMH3,0.719275123,0.530402808,0.445000592,0.9754034,0.155414691,-2.120207198,0.033988576,0.988058847,0.065476313,3.392934704,0.065476313
PFS,ARNT,1.084919057,0.802814572,0.663338885,1.466153458,0.153644095,0.530481712,0.595777985,0.988058847,0.882426978,0.021872428,0.882426978
PFS,ARNT2,0.839979189,0.626098398,0.500825165,1.126923563,0.14993621,-1.163015673,0.244823144,0.988058847,0.649774252,0.206184855,0.649774252
