Endpoint,Gene,HR,Lower CI,CI Width,Upper CI,SE,Statistic,P-value,FDR,Global ZPH P-value,Global ZPH ChiSq,Gene ZPH P-value
PFS,SOST,1.006895014,0.679539377,0.812408849,1.491948226,0.200621772,0.034250279,0.972677573,0.999089333,0.940455805,0.398967005,0.663866581
PFS,SOX10,0.944962518,0.683928246,0.621697258,1.305625503,0.164948059,-0.343199043,0.731448725,0.999089333,0.846953996,0.810499842,0.636015846
PFS,SOX11,0.770513554,0.580334298,0.44268147,1.023015768,0.144621501,-1.802622925,0.071447454,0.999089333,0.952909759,0.33708289,0.847378093
PFS,SOX17,0.945998905,0.675221909,0.650140784,1.325362694,0.172043988,-0.322672521,0.746943265,0.999089333,0.765404147,1.148402775,0.544896351
PFS,SOX2,1.023029344,0.75626668,0.627622186,1.383888867,0.154150478,0.147700944,0.882578786,0.999089333,0.912360811,0.529515227,0.632822011
PFS,SOX9,1.182797027,0.833325141,0.845501931,1.678827072,0.178683581,0.939549088,0.347448902,0.999089333,0.597386413,1.881386559,0.225501024
PFS,SP1,0.905529003,0.670862502,0.551418925,1.222281427,0.153041132,-0.648426804,0.516708939,0.999089333,0.872938994,0.701126324,0.474679334
PFS,SPA17,0.871954099,0.626044067,0.588413493,1.21445756,0.169041892,-0.810559408,0.417618736,0.999089333,0.368860746,3.151436967,0.181456106
PFS,SPACA3,0.915953358,0.65878854,0.614716542,1.273505082,0.168147397,-0.522100471,0.601600379,0.999089333,0.96204098,0.289230835,0.91559107
PFS,SPANXB1,0.90034877,0.638787313,0.630223343,1.269010656,0.175110695,-0.599466919,0.548861564,0.999089333,0.950944947,0.347074499,0.937420405
PFS,SPIB,1.005101353,0.684675326,0.790810489,1.475485815,0.195870393,0.025978329,0.979274623,0.999089333,0.907563014,0.550952224,0.946088875
PFS,SPINK5,0.846797014,0.624084559,0.524902662,1.148987221,0.155704464,-1.068012186,0.285515015,0.999089333,0.937925267,0.411171072,0.75800928
PFS,SPN,0.994694159,0.713993471,0.671756556,1.385750026,0.169167137,-0.031447991,0.974912269,0.999089333,0.941336278,0.394694573,0.998599156
PFS,SPOP,0.98093602,0.71888703,0.619620186,1.338507215,0.158575881,-0.12138063,0.903389558,0.999089333,0.928630503,0.455139732,0.739059125
